,reserve,num_bids,num_com,milage,private_seller,num_highlights,num_equipment,num_modifications,num_known_flaws,num_service_history,num_other_items,num_owner_history,num_seller_notes,num_videos,sold,sentiment_score,year,make_model,title_status,end_bid,num_views,num_photos,make_BMW,model_M3,ecolor_beige,ecolor_black,ecolor_blue,ecolor_brown,ecolor_gray,ecolor_green,ecolor_orange,ecolor_purple,ecolor_red,ecolor_silver,ecolor_white,ecolor_yellow,icolor_beige,icolor_black,icolor_brown,icolor_gray,icolor_green,icolor_orange,icolor_red,icolor_silver,num_bidders
138,0,25,36,82300,1,6,9,6,13,5,3,1,0,4.0,1,0.0625,2002,BMW M3,1,17750,5811,114,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13
139,1,37,34,74800,1,5,15,8,6,6,5,1,0,3.0,0,-0.0476190476190476,2013,BMW M3,1,24750,6032,77,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,20
140,0,16,21,246900,1,6,10,7,22,3,4,1,0,3.0,1,0.2222222222222222,1997,BMW M3,1,7100,13282,147,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9
141,0,32,67,133100,1,6,10,9,10,2,4,1,0,5.0,1,0.3018867924528302,2008,BMW M3,0,16592,13075,95,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,13
142,1,35,29,93000,1,4,10,5,4,0,3,1,0,1.0,1,-0.125,2009,BMW M3,1,17250,7727,51,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,14
143,1,39,25,50000,1,5,14,1,6,11,4,1,0,2.0,1,0.0434782608695652,2015,BMW M3,1,40000,10750,77,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16
144,1,9,16,24600,1,6,17,8,0,3,4,1,0,2.0,1,0.4615384615384615,2016,BMW M3,1,44500,13645,135,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6
145,1,26,28,40900,1,7,13,3,2,2,2,1,0,3.0,0,0.2,2009,BMW M3,1,29250,10459,136,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16
146,0,20,22,230000,1,6,12,3,14,9,3,1,0,7.0,1,0.3529411764705882,1998,BMW M3,1,11520,15234,145,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11
147,1,30,29,138500,1,6,13,21,20,7,7,1,0,6.0,0,0.3636363636363636,2003,BMW M3,1,16850,15285,117,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,17
148,1,24,11,33300,1,5,13,2,4,4,4,1,2,4.0,1,0.9,2017,BMW M3,1,51600,8688,61,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
149,1,14,65,104900,1,5,7,34,9,5,4,1,3,4.0,0,0.4509803921568627,1991,BMW M3,1,57055,24544,92,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,10
150,1,33,170,9000,1,6,10,13,7,0,3,1,0,3.0,0,-0.0198675496688741,2015,BMW M3,1,47000,13337,71,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12
151,1,31,32,115800,1,6,12,4,9,9,7,1,0,1.0,1,0.3214285714285714,2002,BMW M3,1,23000,10362,128,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18
152,1,22,50,124500,1,5,4,28,7,4,4,1,3,1.0,1,0.6,1997,BMW M3,0,31500,18028,117,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
